id;tenant_id;name;description;tier;category;icon_url;metadata;is_active;created_at;updated_at;rarity;rep_points;requirement;shape;icon_name
b420c065-fa25-47d9-9b4d-14b716ab27ec;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Location Pioneer;Enabled GPS for location-based opportunities;bronze;identity_security;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;10;;circle;MapPin
5aaeb1ee-be12-4237-b019-c167a78d975a;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Trusted Surveyor;Achieved the gold standard of verification through complete KYC - unlocking premium opportunities and higher payouts;silver;identity_security;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;50;;hexagon;CheckCircle
863b5c78-0cf0-4637-8c83-dd1a8cbd2b83;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Blockchain Visionary;Connected your Soulbase crypto token - joining the elite ranks of crypto-enabled users with exclusive benefits;gold;identity_security;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;100;;star;Sparkles
49109818-5922-4e45-b8a4-b0dfbe747bcb;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Connected Earner;Enabled instant WhatsApp notifications - never missing a high-paying survey opportunity again;bronze;identity_security;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;20;;circle;Users
5efbe3c8-8d57-48ee-9126-ac4a683661b4;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Consistency Champion;Maintained a perfect 7-day earning streak - proving your dedication to consistent daily progress;bronze;consistency;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;25;7 days;circle;Flame
48b244f9-ca9c-426b-a164-3d784444bc09;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Momentum Master;Conquered a full 30-day streak - demonstrating unwavering commitment and earning exponential rewards;silver;consistency;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;75;30 days;hexagon;Trophy
068ed6a7-3059-468e-a895-26a0fa6569fd;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Seasonal Strategist;Achieved an epic 90-day streak - joining the elite 5% of users who master long-term consistency;gold;consistency;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;150;90 days;star;Award
a01a2a49-d0e9-40a0-90b0-e9a91e5b917a;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Endurance Legend;Sustained an incredible 180-day streak - showcasing superhuman dedication to your earning journey;platinum;consistency;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;300;180 days;diamond;Diamond
8b5193c4-aaf8-486f-b963-a58feef6095b;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Eternal Earnings God;Transcended mortal limits with a legendary 365-day streak - earning your place in the hall of fame forever;diamond;consistency;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Legendary;500;365 days;star;Crown
efd5e0b9-0e18-4ec9-bf1e-f99cc66d4c28;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Precision Perfectionist;Completed 100+ surveys with 95%+ quality score - proving that excellence is your standard, not your goal;gold;excellence;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;100;100 quality surveys;hexagon;Target
53a80180-01ad-4e4d-ab2f-216ff400476c;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Lightning Responder;Mastered the art of fast yet accurate survey completion - maximizing earnings while maintaining top quality;silver;excellence;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;50;;diamond;Zap
b27d8b9f-ca73-4a15-a099-4da6b973719b;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Community Catalyst;Became a pillar of our community through active participation and helping fellow members succeed;silver;excellence;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;40;;circle;Users
fa2c7b74-aedd-4980-8ccf-f44d11d04860;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Data Integrity Guardian;Achieved legendary status with 98%+ data consistency across all surveys - researchers love your contributions;platinum;excellence;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;200;50 surveys;star;Shield
4d446b01-9553-494b-8cf1-b52560bc4259;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Insight Innovator;Provided exceptional qualitative feedback in 25+ surveys - elevating research quality across the platform;gold;excellence;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;80;25 surveys;hexagon;Award
885f97e3-3b01-4c7a-9d5a-a2fae867b27a;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Network Pioneer;Invited your first friend to join the earning journey;bronze;social;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;15;;circle;Users
1e6649b6-0847-416f-96ab-02be8d402ca7;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Connection Catalyst;Successfully referred 5 active members to the community;silver;social;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;50;5 referrals;hexagon;Users
f5858b1d-3956-42f8-a727-26177f539f71;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Community Leader;Built a network of 10+ active referrals - true leadership;gold;social;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;100;10 referrals;star;Crown
25359f77-afef-4944-9476-fda10fbfe535;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Viral Champion;Created a viral network of 25+ successful referrals;platinum;social;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;250;25 referrals;diamond;Sparkles
4db77c69-96f9-4d42-b934-615002c5c2df;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Network Deity;Legendary achievement: 50+ active referrals;diamond;social;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Legendary;500;50 referrals;star;Crown
